id,store_id,is_online,checked_at,response_time_ms,error_message
1,3783,t,2025-08-11 14:44:51.616979,2978,
2,3784,t,2025-08-11 14:44:58.415506,2879,
3,3785,t,2025-08-11 14:45:05.618711,2622,
4,3786,t,2025-08-11 14:45:12.801124,3368,
5,3787,t,2025-08-11 14:45:20.723402,4160,
6,3788,t,2025-08-11 14:45:28.555205,4323,
7,3789,t,2025-08-11 14:45:35.036495,3709,
8,3790,t,2025-08-11 14:45:57.808552,18418,
9,3791,t,2025-08-11 14:46:16.279936,14558,
10,3792,t,2025-08-11 14:46:36.43967,16197,
11,3793,t,2025-08-11 14:46:55.552411,15009,
12,3794,t,2025-08-11 14:47:18.965699,19624,
13,3795,t,2025-08-11 14:47:38.615194,16240,
14,3796,t,2025-08-11 14:47:58.142182,15702,
15,3797,t,2025-08-11 14:48:20.228261,17695,
16,3798,t,2025-08-11 14:48:39.322281,9836,
17,3799,t,2025-08-11 14:48:54.250383,11681,
18,3800,t,2025-08-11 14:49:12.678863,14100,
19,3783,t,2025-08-11 23:00:02.870273,627,
20,3784,t,2025-08-11 23:00:05.427119,874,
21,3785,t,2025-08-11 23:00:07.915931,644,
22,3786,t,2025-08-11 23:00:10.236049,575,
23,3787,t,2025-08-11 23:00:13.820939,580,
24,3788,t,2025-08-11 23:00:15.947645,619,
25,3789,t,2025-08-11 23:00:18.247544,723,
26,3790,t,2025-08-11 23:00:30.95436,10599,
27,3791,t,2025-08-11 23:00:48.84418,15542,
28,3792,t,2025-08-11 23:01:08.520006,17838,
29,3793,t,2025-08-11 23:01:18.629009,8147,
30,3794,t,2025-08-11 23:01:29.122809,8744,
31,3795,t,2025-08-11 23:01:40.242048,8251,
32,3796,t,2025-08-11 23:01:50.139776,8207,
33,3797,t,2025-08-11 23:01:59.655388,7883,
34,3798,t,2025-08-11 23:02:14.21823,12776,
35,3799,t,2025-08-11 23:02:23.52451,7659,
36,3800,t,2025-08-11 23:02:34.738586,8859,
37,3783,t,2025-08-12 01:00:05.197501,2116,
38,3784,t,2025-08-12 01:00:09.289898,1203,
39,3785,t,2025-08-12 01:00:13.981758,1608,
40,3786,t,2025-08-12 01:00:18.378204,1789,
41,3787,t,2025-08-12 01:00:23.355478,2755,
42,3788,t,2025-08-12 01:00:26.365406,1087,
43,3789,t,2025-08-12 01:00:30.179785,1917,
44,3790,t,2025-08-12 01:00:42.670173,8842,
45,3791,t,2025-08-12 01:00:56.777992,10666,
46,3792,t,2025-08-12 01:01:10.284249,10881,
47,3793,t,2025-08-12 01:01:24.679477,11710,
48,3794,t,2025-08-12 02:18:51.054246,4643782,
49,3795,t,2025-08-12 02:19:04.862486,10002,
50,3796,t,2025-08-12 02:19:19.6843,13226,
51,3797,t,2025-08-12 02:19:31.961192,9812,
52,3798,t,2025-08-12 02:19:42.093466,8433,
53,3799,t,2025-08-12 02:19:59.763937,15948,
54,3800,t,2025-08-12 02:20:10.358753,8883,
55,3783,t,2025-08-12 08:00:09.08995,3960,
56,3784,t,2025-08-12 08:00:18.981178,4587,
57,3785,t,2025-08-12 08:00:29.372763,5580,
58,3786,t,2025-08-12 08:00:38.706953,3613,
59,3787,t,2025-08-12 08:00:49.491705,3086,
60,3788,t,2025-08-12 08:00:59.381615,4192,
61,3789,t,2025-08-12 08:01:08.892086,4377,
62,3790,t,2025-08-12 08:01:32.270524,15567,
63,3791,t,2025-08-12 08:01:57.063478,16873,
64,3792,t,2025-08-12 08:02:25.586216,20619,
65,3793,t,2025-08-12 08:02:44.709147,12678,
66,3794,t,2025-08-12 08:03:04.864595,13789,
67,3795,t,2025-08-12 08:03:31.097495,19319,
68,3796,t,2025-08-12 08:03:56.016155,17978,
69,3797,t,2025-08-12 08:04:18.903085,13192,
70,3798,t,2025-08-12 08:04:47.498246,26506,
71,3799,t,2025-08-12 08:05:07.579095,18116,
72,3800,t,2025-08-12 08:05:27.184347,16848,
73,3783,t,2025-08-12 08:40:02.709549,1389,
74,3784,t,2025-08-12 08:40:07.989351,1120,
75,3785,t,2025-08-12 08:40:11.251898,1026,
76,3786,t,2025-08-12 08:40:15.65312,803,
77,3787,t,2025-08-12 08:40:17.971536,608,
78,3788,t,2025-08-12 08:40:20.349851,683,
79,3789,t,2025-08-12 08:40:25.384687,2801,
80,3790,t,2025-08-12 08:40:39.256508,11590,
81,3791,t,2025-08-12 08:40:51.024323,9524,
82,3792,t,2025-08-12 08:41:05.359558,12186,
83,3793,t,2025-08-12 08:41:16.370815,8734,
84,3794,t,2025-08-12 08:41:26.673353,8186,
85,3795,t,2025-08-12 08:41:37.677578,8996,
86,3796,t,2025-08-12 08:41:47.979696,8301,
87,3797,t,2025-08-12 08:41:58.262739,8130,
88,3798,t,2025-08-12 08:42:09.444116,9412,
89,3799,t,2025-08-12 08:42:19.15,8031,
90,3800,t,2025-08-12 08:42:29.47566,8631,
91,3783,t,2025-08-12 09:00:01.497669,587,
92,3784,t,2025-08-12 09:00:04.004224,827,
93,3785,t,2025-08-12 09:00:06.460604,797,
94,3786,t,2025-08-12 09:00:08.47105,498,
95,3787,t,2025-08-12 09:00:10.802304,591,
96,3788,t,2025-08-12 09:00:12.710242,398,
97,3789,t,2025-08-12 09:00:14.990646,421,
98,3790,t,2025-08-12 09:00:24.967374,7821,
