id,total_stores,online_stores,offline_stores,online_percentage,report_time
1,18,18,0,100,2025-08-09 15:15:42.430775
2,18,18,0,100,2025-08-09 23:02:44.099303
3,18,18,0,100,2025-08-10 00:03:21.70631
4,18,18,0,100,2025-08-10 01:03:11.078787
5,18,18,0,100,2025-08-10 02:02:34.975899
6,18,18,0,100,2025-08-10 03:02:33.794914
7,18,18,0,100,2025-08-10 04:02:53.438798
8,18,18,0,100,2025-08-10 04:45:21.135854
9,18,18,0,100,2025-08-10 05:03:39.126235
10,18,18,0,100,2025-08-10 06:02:48.326792
11,18,18,0,100,2025-08-10 09:54:00.676448
12,18,18,0,100,2025-08-10 13:29:55.14216
13,18,18,0,100,2025-08-10 14:06:19.900111
14,18,18,0,100,2025-08-10 23:05:37.632486
15,18,18,0,100,2025-08-11 00:05:35.470194
16,18,18,0,100,2025-08-11 01:05:32.784514
17,18,18,0,100,2025-08-11 14:37:16.838516
18,18,18,0,100,2025-08-11 14:49:13.72123
19,18,18,0,100,2025-08-11 23:02:35.744547
20,18,18,0,100,2025-08-12 02:20:11.362756
21,18,18,0,100,2025-08-12 08:05:28.194342
22,18,18,0,100,2025-08-12 08:42:30.485104
23,18,18,0,100,2025-08-12 09:02:31.896178
24,18,18,0,100,2025-08-12 10:02:29.422342
25,18,18,0,100,2025-08-12 11:02:52.949815
26,18,18,0,100,2025-08-12 12:02:33.863333
27,18,18,0,100,2025-08-12 13:02:26.145338
28,18,18,0,100,2025-08-13 15:05:49.759579
29,18,18,0,100,2025-08-15 04:49:58.128132
30,18,18,0,100,2025-08-15 06:54:40.685909
31,18,18,0,100,2025-08-15 07:03:34.125402
32,18,18,0,100,2025-08-15 08:03:21.085431
33,18,18,0,100,2025-08-15 09:02:54.469649
34,18,18,0,100,2025-08-15 10:02:50.25218
35,18,18,0,100,2025-08-15 11:02:57.121513
36,18,18,0,100,2025-08-15 12:02:38.350051
37,18,18,0,100,2025-08-15 13:02:33.4638
38,18,18,0,100,2025-08-16 06:36:23.493301
