id,sku_code,product_name,platform,category,division,flow_category,gmv_q3,is_active,created_at
210,GP001,COCOPAN SAVORY SET 1,grabfood,PROMOS,PROMOS,New Offers,0.00,True,2025-09-18 16:28:38.467076
211,GP002,COCOPAN SAVORY SET 2,grabfood,PROMOS,PROMOS,New Offers,0.00,True,2025-09-18 16:28:38.467076
212,GP003,COCOPAN SAVORY SET 3,grabfood,PROMOS,PROMOS,New Offers,0.00,True,2025-09-18 16:28:38.467076
213,GP004,COCOPAN SAVORY SET 4,grabfood,PROMOS,PROMOS,New Offers,0.00,True,2025-09-18 16:28:38.467076
214,GP005,EXPRESS SWEET & CREAMY ICED COFFEE,grabfood,PROMOS,PROMOS,New Offers,0.00,True,2025-09-18 16:28:38.467076
215,GP006,EXPRESS CLASSIC ICED COFFEE,grabfood,PROMOS,PROMOS,New Offers,0.00,True,2025-09-18 16:28:38.467076
216,GP007,BUILD A BOX (SUPERBOX 13PCS),grabfood,PROMOS,PROMOS,Bundles,0.00,True,2025-09-18 16:28:38.467076
217,GP008,SUPERBOX (ASSORTED 13PCS),grabfood,PROMOS,PROMOS,Bundles,0.00,True,2025-09-18 16:28:38.467076
218,GP009,BUILD A BOX (SNACK BOX 10PCS),grabfood,PROMOS,PROMOS,Bundles,0.00,True,2025-09-18 16:28:38.467076
219,GP010,SNACK BOX (ASSORTED 10PCS),grabfood,PROMOS,PROMOS,Bundles,0.00,True,2025-09-18 16:28:38.467076
5,GB001,PAN DE COCO,grabfood,BREAD,BREAD,Classic Favorites,758896.86,True,2025-09-18 15:38:42.909670
8,GB107,DOUBLE CHEESE ROLL,grabfood,BREAD,BREAD,Classic Favorites,484849.49,True,2025-09-18 15:38:42.909670
9,GB004,GRAB CHEESE ROLL,grabfood,BREAD,BREAD,Classic Favorites,503125.58,True,2025-09-18 15:38:42.909670
10,GB006,GRAB SPANISH BREAD,grabfood,BREAD,BREAD,Classic Favorites,420680.43,True,2025-09-18 15:38:42.909670
11,GB008,GRAB CHOCO ROLL,grabfood,BREAD,BREAD,Classic Favorites,224814.50,True,2025-09-18 15:38:42.909670
12,GB104,GRAB PAN DE SAL (10 PCS),grabfood,BREAD,BREAD,Classic Favorites,116562.35,True,2025-09-18 15:38:42.909670
4,GB110,CINNAMON ROLL DELUXE,grabfood,BREAD,BREAD,Sweet Favorites,601297.50,True,2025-09-18 15:38:42.909670
13,GB028,GRAB CINNAMON ROLL CLASSIC,grabfood,BREAD,BREAD,Sweet Favorites,237303.49,True,2025-09-18 15:38:42.909670
14,GB069,GRAB COFFEE BUN,grabfood,BREAD,BREAD,Sweet Favorites,271841.20,True,2025-09-18 15:38:42.909670
15,GB103,GRAB BLUEBERRY MUFFIN,grabfood,BREAD,BREAD,Sweet Favorites,145822.51,True,2025-09-18 15:38:42.909670
16,GB096,GRAB CHOCO CHIP MUFFIN,grabfood,BREAD,BREAD,Sweet Favorites,177441.38,True,2025-09-18 15:38:42.909670
1,GB062,MILKY CHEESE DONUT,grabfood,BREAD,BREAD,Donuts,1595421.82,True,2025-09-18 15:38:42.909670
17,GB074,GRAB CHOCO CHEESE DONUT,grabfood,BREAD,BREAD,Donuts,328551.42,True,2025-09-18 15:38:42.909670
18,GB061,GRAB CHEESE BURST DONUT,grabfood,BREAD,BREAD,Donuts,116089.50,True,2025-09-18 15:38:42.909670
19,GB034,GRAB SUGAR DONUT,grabfood,BREAD,BREAD,Donuts,257118.31,True,2025-09-18 15:38:42.909670
