id,store_id,platform,check_date,out_of_stock_skus,total_skus_checked,out_of_stock_count,compliance_percentage,checked_by,checked_at,notes
1,70,foodpanda,2025-09-20,[],116,0,100.00,arthurpolicarpio@gmail.com,2025-09-20 09:29:22.568489,
1765,36,grabfood,2025-10-09,[],95,0,100.00,automated_scraper,2025-10-09 02:13:27.672502,
1766,37,grabfood,2025-10-09,[],95,0,100.00,automated_scraper,2025-10-09 02:13:45.817094,
4,74,foodpanda,2025-09-20,[],116,0,100.00,arthurpolicarpio@gmail.com,2025-09-20 09:43:36.712470,
5,75,foodpanda,2025-09-20,[],116,0,100.00,arthurpolicarpio@gmail.com,2025-09-20 09:44:07.983175,
6,76,foodpanda,2025-09-20,[],116,0,100.00,arthurpolicarpio@gmail.com,2025-09-20 09:45:56.719799,
7,77,foodpanda,2025-09-20,[],116,0,100.00,arthurpolicarpio@gmail.com,2025-09-20 09:46:25.474166,
1767,38,grabfood,2025-10-09,['GP009'],95,1,98.95,automated_scraper,2025-10-09 02:14:05.938642,
1768,40,grabfood,2025-10-09,[],95,0,100.00,automated_scraper,2025-10-09 02:14:28.605508,
1769,41,grabfood,2025-10-09,['GB001', 'GB006', 'GB071', 'GB095'],95,4,95.79,automated_scraper,2025-10-09 02:14:51.906888,
11,81,foodpanda,2025-09-20,[],116,0,100.00,arthurpolicarpio@gmail.com,2025-09-20 09:49:47.268237,
12,82,foodpanda,2025-09-20,[],116,0,100.00,arthurpolicarpio@gmail.com,2025-09-20 09:50:12.486819,
13,83,foodpanda,2025-09-20,[],116,0,100.00,arthurpolicarpio@gmail.com,2025-09-20 09:54:36.673752,
14,1,grabfood,2025-09-20,['GB070', 'GB006'],95,2,97.89,arthurpolicarpio@gmail.com,2025-09-20 10:01:45.084654,
15,2,grabfood,2025-09-20,['GB070', 'GB006'],95,2,97.89,arthurpolicarpio@gmail.com,2025-09-20 10:02:42.162898,
