Store_ID,Store_Name,Platform,Check_Count,First_Check,Last_Check
136,Cocopan Tejeros,foodpanda,699,2025-09-09 10:00:00,2025-10-01 05:00:00
13,Cocopan Ever Navotas,grabfood,698,2025-09-09 10:00:00,2025-10-01 04:54:57
120,Cocopan Pulang Lupa,foodpanda,698,2025-09-09 10:00:00,2025-10-01 05:00:00
124,Cocopan Putatan,foodpanda,698,2025-09-09 10:00:00,2025-10-01 05:00:00
2,Cocopan Anonas,grabfood,697,2025-09-09 10:00:00,2025-10-01 04:54:56
4,Cocopan Bf Holy Spirit,grabfood,697,2025-09-09 10:00:00,2025-10-01 04:54:56
9,Cocopan Comembo,grabfood,697,2025-09-09 10:00:00,2025-10-01 04:54:56
10,Cocopan Concepcion Uno,grabfood,697,2025-09-09 10:00:00,2025-10-01 04:54:56
7,Cocopan Congressional,grabfood,697,2025-09-09 10:00:00,2025-10-01 04:54:56
15,Cocopan Evacom,grabfood,697,2025-09-09 10:00:00,2025-10-01 04:54:57
18,Cocopan Guadalupe,grabfood,697,2025-09-09 10:00:00,2025-10-01 04:54:57
21,Cocopan Kamuning,grabfood,697,2025-09-09 10:00:00,2025-10-01 04:54:57
25,Cocopan La Huerta,grabfood,697,2025-09-09 10:00:00,2025-10-01 04:54:57
27,Cocopan Lifehomes Rosario,grabfood,697,2025-09-09 10:00:00,2025-10-01 04:54:57
29,Cocopan Litex,grabfood,697,2025-09-09 10:00:00,2025-10-01 04:54:57
34,Cocopan Maypajo,grabfood,697,2025-09-09 10:00:00,2025-10-01 04:54:57
1,Cocopan Maysilo,grabfood,697,2025-09-09 10:00:00,2025-10-01 04:54:56
31,Cocopan Merville,grabfood,697,2025-09-09 10:00:00,2025-10-01 04:54:57
33,Cocopan Moonwalk,grabfood,697,2025-09-09 10:00:00,2025-10-01 04:54:57
35,Cocopan Munoz,grabfood,697,2025-09-09 10:00:00,2025-10-01 04:54:57
45,Cocopan Pedro Gil,grabfood,697,2025-09-09 10:00:00,2025-10-01 04:54:57
46,Cocopan Pio Valenzuela,grabfood,697,2025-09-09 10:00:00,2025-10-01 04:54:57
51,Cocopan Quiapo,grabfood,697,2025-09-09 10:00:00,2025-10-01 04:54:57
62,Cocopan Talon Uno,grabfood,697,2025-09-09 10:00:00,2025-10-01 04:54:57
60,Cocopan Taytay,grabfood,697,2025-09-09 10:00:00,2025-10-01 04:54:57
64,Cocopan Wakas Bocaue,grabfood,697,2025-09-09 10:00:00,2025-10-01 04:54:57
85,Cocopan Evangelista,foodpanda,696,2025-09-09 10:00:00,2025-10-01 05:00:00
3,Cocopan Altura Sta. Mesa,grabfood,390,2025-09-09 10:37:50,2025-10-01 04:54:56
5,Cocopan Bicas,grabfood,390,2025-09-09 10:37:50,2025-10-01 04:54:56
6,Cocopan Caa,grabfood,390,2025-09-09 10:37:50,2025-10-01 04:54:56
8,Cocopan Cm Recto,grabfood,390,2025-09-09 10:37:50,2025-10-01 04:54:56
14,Cocopan Edsa Pasay,grabfood,390,2025-09-09 10:37:50,2025-10-01 04:54:57
12,Cocopan Ever 11Th Ave.,grabfood,390,2025-09-09 10:37:50,2025-10-01 04:54:57
16,Cocopan Fortune Market,grabfood,390,2025-09-09 10:37:50,2025-10-01 04:54:57
17,Cocopan Gil Puyat,grabfood,390,2025-09-09 10:37:50,2025-10-01 04:54:57
161,Cocopan Grace Park,grabfood,390,2025-09-09 10:37:51,2025-10-01 04:54:57
19,Cocopan Imall Antipolo,grabfood,390,2025-09-09 10:37:50,2025-10-01 04:54:57
20,Cocopan Kabihasnan,grabfood,390,2025-09-09 10:37:50,2025-10-01 04:54:57
24,Cocopan Kalentong I,grabfood,390,2025-09-09 10:37:50,2025-10-01 04:54:57
22,Cocopan Kanlaon,grabfood,390,2025-09-09 10:37:50,2025-10-01 04:54:57
23,Cocopan Katuparan,grabfood,390,2025-09-09 10:37:50,2025-10-01 04:54:57
28,Cocopan Landayan,grabfood,390,2025-09-09 10:37:50,2025-10-01 04:54:57
26,Cocopan Luzon Galas,grabfood,390,2025-09-09 10:37:50,2025-10-01 04:54:57
32,Cocopan Meycauayan,grabfood,390,2025-09-09 10:37:50,2025-10-01 04:54:57
36,Cocopan Murphy,grabfood,390,2025-09-09 10:37:51,2025-10-01 04:54:57
37,Cocopan Naval,grabfood,390,2025-09-09 10:37:51,2025-10-01 04:54:57
38,Cocopan N. Domingo,grabfood,390,2025-09-09 10:37:51,2025-10-01 04:54:57
40,Cocopan Old Sta. Mesa,grabfood,390,2025-09-09 10:37:51,2025-10-01 04:54:57
39,Cocopan Ortigas Cainta,grabfood,390,2025-09-09 10:37:51,2025-10-01 04:54:56
41,Cocopan Paco,grabfood,390,2025-09-09 10:37:51,2025-10-01 04:54:57
44,Cocopan Pag Asa Binangonan,grabfood,390,2025-09-09 10:37:51,2025-10-01 04:54:57
42,Cocopan Pateros,grabfood,390,2025-09-09 10:37:51,2025-10-01 04:54:57
43,Cocopan Pinagbuhatan,grabfood,390,2025-09-09 10:37:51,2025-10-01 04:54:57
66,Cocopan Polo M.H Del Pilar,grabfood,390,2025-09-09 10:37:51,2025-10-01 04:54:57
154,Cocopan Sarmiento,grabfood,390,2025-09-09 10:37:51,2025-10-01 04:54:57
157,Cocopan Sierra Madre,grabfood,390,2025-09-09 10:37:51,2025-10-01 04:54:57
156,Cocopan Signal,grabfood,390,2025-09-09 10:37:51,2025-10-01 04:54:57
63,Cocopan Villongco I,grabfood,390,2025-09-09 10:37:51,2025-10-01 04:54:57
65,Cocopan Zapote,grabfood,390,2025-09-09 10:37:51,2025-10-01 04:54:57
48,Cocopan Pinagsama I,grabfood,388,2025-09-09 10:37:51,2025-10-01 02:59:36
59,Cocopan Sta. Quiteria,grabfood,388,2025-09-09 10:37:51,2025-10-01 02:59:36
11,Cocopan Ever 10Th Ave.,grabfood,387,2025-09-09 10:37:50,2025-10-01 02:59:36
30,Cocopan Morning Breeze,grabfood,387,2025-09-09 10:37:50,2025-10-01 02:59:36
50,Cocopan Palatiw,grabfood,387,2025-09-09 10:37:51,2025-10-01 02:59:36
53,Cocopan Samadores,grabfood,387,2025-09-09 10:37:51,2025-10-01 02:59:36
58,Cocopan San Lazaro,grabfood,387,2025-09-09 10:37:51,2025-10-01 02:59:36
55,Cocopan San Vicente,grabfood,387,2025-09-09 10:37:51,2025-10-01 02:59:36
52,Cocopan Sixto Caniogan,grabfood,387,2025-09-09 10:37:51,2025-10-01 02:59:36
67,Cocopan Susano Road Novaliches,grabfood,387,2025-09-09 10:37:51,2025-10-01 02:59:35
128,Cocopan Luzon,foodpanda,311,2025-09-09 10:00:00,2025-10-01 05:00:00
125,Cocopan Market Avenue Palatiw,foodpanda,311,2025-09-09 10:00:00,2025-10-01 05:00:00
123,Cocopan Pinagsama,foodpanda,311,2025-09-09 10:00:00,2025-10-01 05:00:00
134,Cocopan Santa Quiteria Caloocan,foodpanda,311,2025-09-09 10:00:00,2025-10-01 05:00:00
130,Cocopan San Vicente Binan,foodpanda,311,2025-09-09 10:00:00,2025-10-01 05:00:00
91,Cocopan 11Th Avenue Grace Park,foodpanda,308,2025-09-09 10:00:00,2025-10-01 05:00:00
70,Cocopan Aglipay,foodpanda,308,2025-09-09 10:00:00,2025-10-01 05:00:00
115,Cocopan Almeda Pateros,foodpanda,308,2025-09-09 10:00:00,2025-10-01 05:00:00
72,Cocopan Altura,foodpanda,308,2025-09-09 10:00:00,2025-10-01 05:00:00
116,Cocopan Binangonan,foodpanda,308,2025-09-09 10:00:00,2025-10-01 05:00:00
75,Cocopan Blumentritt,foodpanda,308,2025-09-09 10:00:00,2025-10-01 05:00:00
90,Cocopan Buendia 1,foodpanda,308,2025-09-09 10:00:00,2025-10-01 05:00:00
77,Cocopan Caa Las Pinas,foodpanda,308,2025-09-09 10:00:00,2025-10-01 05:00:00
121,Cocopan C De Guzman Santa Maria,foodpanda,308,2025-09-09 10:00:00,2025-10-01 05:00:00
